ProgramName,ProgramType,FundingType,LinkedID,SourceDB,SourceDBNM,payno,ContractNo,ContAmt,ContractorRequestedDate,ToAdvantageDate,entrydt,RequestedAmt,RequestedDate,ReceivedDate,ReviewCompletedDate,AcctReceivedDate,Status,ProcessDay
CDC Activity Grant,CDC,CDBG_DEPT,5560,1,CCR,6,SG2020-146,"356,500.00",1/5/2021,4/27/2021,2/25/2021,0.00,4/26/2021,4/26/2021,4/27/2021,4/27/2021,Complete,112
CDC Activity Grant,CDC,CDBG_DEPT,5576,1,CCR,12,SG2020-165,"629,126.30",8/2/2021,11/22/2021,11/10/2021,"59,430.81",11/10/2021,11/11/2021,11/12/2021,11/12/2021,Complete,112
CDC Activity Grant,CDC,CDBG_DEPT,5583,1,CCR,9,SG2020-179,"520,000.00",4/30/2021,8/20/2021,8/6/2021,"30,064.19",8/17/2021,8/17/2021,8/18/2021,8/18/2021,Complete,112
cares act - senior connection,CARESAct,CARESAct,5603,1,CCR,1,SG2020-128,"62,500.00",8/13/2020,12/3/2020,11/23/2020,"3,168.32",11/23/2020,11/23/2020,11/24/2020,11/30/2020,Complete,112
cares act -  old brooklyn Senior Services,CARESAct,CARESAct,5606,1,CCR,12,SG2020-216,"72,340.00",8/2/2021,11/22/2021,11/17/2021,"3,747.52",11/17/2021,11/18/2021,11/18/2021,11/19/2021,Complete,112
CDC Activity Grant - Detroit Shoreway and Sub-District Neighborhoods,CDC,CDBG_DEPT,5761,1,CCR,1,SG2021-0319,"366,500.00",8/16/2021,12/6/2021,11/22/2021,"30,233.51",11/23/2021,11/24/2021,11/24/2021,12/2/2021,Complete,112
GED and Career Counseling,Social Service,CDBG_DEPT,5315,1,CCR,8,SG2019-247,"13,300.00",11/17/2020,3/10/2021,1/28/2021,524.10,3/2/2021,3/4/2021,3/5/2021,3/10/2021,Complete,113
GED and Career Counseling,Social Service,CDBG_DEPT,5315,1,CCR,9,SG2019-247,"13,300.00",11/17/2020,3/10/2021,1/28/2021,"1,190.06",3/2/2021,3/4/2021,3/5/2021,3/10/2021,Complete,113
Emergency Shelter,ESG,ESGP,5428,1,CCR,6,SG2019-263,"97,000.00",5/12/2020,9/2/2020,7/28/2020,"3,461.72",8/6/2020,8/7/2020,8/12/2020,9/2/2020,Complete,113
Transportation Services,Social Service,CDBG_DEPT,5681,1,CCR,1,SG2021-305,"405,000.00",8/18/2021,12/9/2021,12/6/2021,"20,123.66",12/6/2021,12/6/2021,12/6/2021,12/8/2021,Complete,113
Elderly Services,Social Service,CDBG_DEPT,5729,1,CCR,1,SG 2021-259,"25,585.00",10/19/2021,2/9/2022,2/4/2022,"1,024.29",2/4/2022,2/7/2022,2/7/2022,2/8/2022,Complete,113
Norma Herr Women's Shelter,CDBG Homeless Assistance,CDBG_HA,5419,1,CCR,9,SG2019-249,"200,000.00",11/2/2020,2/24/2021,2/9/2021,"16,221.22",2/9/2021,2/12/2021,2/17/2021,2/24/2021,Complete,114
CDC Activity Grant,CDC,CDBG_DEPT,5569,1,CCR,12,SG2020-162,"312,000.00",7/27/2021,11/18/2021,11/9/2021,"34,332.06",11/17/2021,11/17/2021,11/17/2021,11/18/2021,Complete,114
Tool Loan and Counseling,City Wide,CDBG_DEPT,5526,1,CCR,4,SG2021-145,"181,250.00",4/5/2021,7/29/2021,6/21/2021,"12,591.46",6/25/2021,6/25/2021,6/25/2021,6/28/2021,Complete,115
Cares Act -  Food Delivery Program,CARESAct,CARESAct,5584,1,CCR,1,SG2020-074,"45,000.00",8/14/2020,12/7/2020,10/27/2020,149.08,10/30/2020,11/12/2020,11/17/2020,12/3/2020,Complete,115
cares act - 211 helpLink,CARESAct,CARESAct,5594,1,CCR,1,SG2020-0053,"200,000.00",8/14/2020,12/7/2020,12/2/2020,0.00,12/3/2020,12/3/2020,12/4/2020,12/7/2020,Complete,115
Cares act -  adult wellness program,CARESAct,CARESAct,5608,1,CCR,1,SG2020-126,"73,986.00",8/14/2020,12/7/2020,11/19/2020,"2,888.72",11/25/2020,11/30/2020,12/2/2020,12/2/2020,Complete,115
Illegal Dumping and Site Cleaning,NDA,CDBG_NDA,5624,1,CCR,5,SG2020-209,"22,460.00",1/4/2021,4/29/2021,3/29/2021,"1,390.30",4/26/2021,4/26/2021,4/27/2021,4/27/2021,Complete,115
Imagination Library,NDA,CDBG_NDA,5443,1,CCR,11,SG2020-001,"10,000.00",12/10/2020,4/5/2021,3/24/2021,"7,762.65",3/25/2021,3/26/2021,3/30/2021,4/5/2021,Complete,116
cares act - Familes First and MiCasa Housing Referral Services,CARESAct,CARESAct,5593,1,CCR,1,SG2020-104,"70,914.00",8/14/2020,12/8/2020,12/2/2020,"1,931.62",12/3/2020,12/3/2020,12/4/2020,12/7/2020,Complete,116
cares act connecting seniors,CARESAct,CARESAct,5604,1,CCR,1,SG2020-100,"31,250.00",8/14/2020,12/8/2020,12/2/2020,"2,604.17",12/3/2020,12/3/2020,12/4/2020,12/7/2020,Complete,116
Rental Assistance,CARESAct,CARESAct,5631,1,CCR,4,SG2020-0052,"7,410,267.00",11/20/2020,3/16/2021,3/10/2021,0.00,3/10/2021,3/11/2021,3/12/2021,3/16/2021,Complete,116
Ward 7 Community Connectors,NDA,CDBG_NDA,5408,1,CCR,12,SG2020-021,"81,855.00",7/30/2020,11/24/2020,11/13/2020,"6,584.55",11/16/2020,11/18/2020,11/20/2020,11/23/2020,Complete,117
Food Distribution Food Card Program,Casino,Casino_Funds,5468,1,CCR,1,SG2021-017,"113,750.00",7/15/2021,11/9/2021,11/1/2021,"30,000.00",11/2/2021,11/3/2021,11/8/2021,11/8/2021,Complete,117
Food Distribution Food Card Program,Casino,Casino_Funds,5468,1,CCR,2,SG2021-017,"113,750.00",7/15/2021,11/9/2021,11/1/2021,"83,300.00",11/2/2021,11/3/2021,11/8/2021,11/8/2021,Complete,117
CDC Activity Grant,CDC,CDBG_DEPT,5575,1,CCR,12,SG2020-158,"266,000.00",7/9/2021,11/3/2021,10/28/2021,"68,356.29",10/29/2021,10/29/2021,11/1/2021,11/1/2021,Complete,117
CDC Activity Grant,CDC,CDBG_DEPT,5642,1,CCR,5,SG2020-181,"325,500.00",12/30/2020,4/26/2021,2/11/2021,0.00,2/18/2021,2/23/2021,2/23/2021,4/26/2021,Complete,117
CDC OPERATING SUPPORT,CDC,CDBG_DEPT & NDA,5297,1,CCR,11,SG2019-138,"565,000.00",5/29/2020,9/24/2020,7/28/2020,"16,508.15",9/3/2020,9/8/2020,9/9/2020,9/24/2020,Complete,118
Sexual Assault Counseling,Social Service,CDBG_DEPT,5319,1,CCR,9,SG2019-117,"24,288.00",4/21/2020,8/17/2020,4/29/2020,"2,051.47",5/1/2020,5/4/2020,5/4/2020,5/6/2020,Complete,118
Youth Recreation Program-Collinwood,Social Service,CDBG_DEPT,5324,1,CCR,9,SG2019-154,"16,300.00",7/23/2020,11/18/2020,7/29/2020,0.00,7/29/2020,7/29/2020,7/30/2020,11/18/2020,Complete,118
CDC Activity Grant,CDC,CDBG_DEPT,5573,1,CCR,12,SG2020-0164,"1,713,090.00",8/3/2021,11/29/2021,11/9/2021,"260,393.54",11/23/2021,11/23/2021,11/23/2021,11/29/2021,Complete,118
Tool Loan and Counseling,City Wide,CDBG_DEPT,5360,1,CCR,10,SG2019-255,"121,390.25",7/23/2020,11/19/2020,10/27/2020,"10,205.31",10/27/2020,11/11/2020,11/17/2020,11/18/2020,Complete,119
Tool Loan and Counseling,City Wide,CDBG_DEPT,5360,1,CCR,11,SG2019-255,"121,390.25",7/23/2020,11/19/2020,10/27/2020,"12,902.24",10/27/2020,11/11/2020,11/17/2020,11/18/2020,Complete,119
cares act - Familes First and MiCasa Housing Referral Services,CARESAct,CARESAct,5593,1,CCR,5,SG2020-104,"70,914.00",12/30/2020,4/28/2021,3/26/2021,"1,829.61",3/30/2021,4/1/2021,4/9/2021,4/13/2021,Complete,119
Emergency Domestic Violence Shelter,Social Service,CDBG_DEPT,5327,1,CCR,7,SG2019-118,"58,488.00",4/7/2020,8/5/2020,7/28/2020,"3,948.30",7/30/2020,8/3/2020,8/3/2020,8/5/2020,Complete,120
Cultural Arts Program,Social Service,CDBG_DEPT,5342,1,CCR,12,SG2020-094,"35,000.00",2/8/2021,6/8/2021,5/11/2021,"2,583.33",5/13/2021,5/13/2021,5/17/2021,5/24/2021,Complete,120
Cares Act - Homeless Prevention - Outreach,CARESAct,CARESAct,5598,1,CCR,2,,"90,444.00",9/15/2020,1/13/2021,12/16/2020,"5,351.47",12/22/2020,12/23/2020,12/23/2020,1/13/2021,Complete,120
cares act - clean & safe facilities for the vulnerable,CARESAct,CARESActESGP,5599,1,CCR,2,SG2020-124,"100,000.00",9/15/2020,1/13/2021,12/23/2020,"16,503.75",12/23/2020,12/29/2020,12/29/2020,1/13/2021,Complete,120
cares act -ESG - personnel - Men's emergency covid shelter,CARESAct,CARESAct,5613,1,CCR,2,SG2020-138,"217,559.00",9/15/2020,1/13/2021,12/4/2020,"2,540.09",12/7/2020,12/7/2020,12/7/2020,1/13/2021,Complete,120
Northpoint Temporary Housing Services,CDBG Homeless Assistance,CDBG_HA,5252,1,CCR,9,SG2019-072,"175,000.00",2/4/2020,6/4/2020,5/19/2020,"11,478.71",5/20/2020,5/21/2020,5/26/2020,5/28/2020,Complete,121
Northpoint Temporary Housing Services,CDBG Homeless Assistance,CDBG_HA,5252,1,CCR,10,SG2019-072,"175,000.00",2/4/2020,6/4/2020,5/19/2020,"11,550.80",5/20/2020,5/21/2020,5/26/2020,5/28/2020,Complete,121
Northpoint Temporary Housing Services,CDBG Homeless Assistance,CDBG_HA,5252,1,CCR,11,SG2019-072,"175,000.00",2/4/2020,6/4/2020,5/19/2020,"13,350.65",5/20/2020,5/21/2020,5/26/2020,5/28/2020,Complete,121
Emergency Food Program,Casino,Casino_Funds,5291,1,CCR,1,SG2019-248,"125,500.00",3/31/2020,7/30/2020,7/15/2020,"125,500.00",7/16/2020,7/16/2020,7/17/2020,7/30/2020,Complete,121
Youth Jobs Partnership,Social Service,CDBG_DEPT,5371,1,CCR,9,SG2019-175,"20,000.00",9/23/2020,1/22/2021,12/9/2020,"1,166.72",12/16/2020,12/17/2020,12/17/2020,1/13/2021,Complete,121
Youth Jobs Partnership,Social Service,CDBG_DEPT,5371,1,CCR,10,SG2019-175,"20,000.00",9/23/2020,1/22/2021,12/9/2020,"1,605.01",12/16/2020,12/17/2020,12/17/2020,1/13/2021,Complete,121
Cares Act-  Food Bank Covid19 Relief,CARESAct,CARESAct,5578,1,CCR,2,SG2020-075,"75,000.00",9/14/2020,1/13/2021,12/16/2020,"12,437.01",12/22/2020,12/23/2020,12/23/2020,1/13/2021,Complete,121
cares act  - Resource Center,CARESAct,CARESAct,5595,1,CCR,2,SG2020-072,"52,000.00",9/14/2020,1/13/2021,12/23/2020,"3,246.76",12/23/2020,12/29/2020,12/29/2020,1/13/2021,Complete,121
cares act  - Support Services to Downtown Businesses,CARESAct,CARESAct,5597,1,CCR,4,SG2020-218,"40,000.00",7/3/2021,11/1/2021,10/26/2021,"3,315.87",10/26/2021,10/27/2021,10/29/2021,10/29/2021,Complete,121
cares act - Counseling and Referral Service,CARESAct,CARESAct,5601,1,CCR,2,SG2020-125,"60,000.00",9/14/2020,1/13/2021,12/23/2020,"3,558.07",12/23/2020,12/29/2020,12/29/2020,1/13/2021,Complete,121
10805 Grandview Ave.,Single Family,Capital,362,2,HDO,1,LA2020*014,"35,000.00",6/23/2020,10/23/2020,9/8/2020,"31,500.00",9/8/2020,9/8/2020,9/9/2020,10/23/2020,Complete,122
10823 Grandview Ave.,Single Family,Capital,385,2,HDO,1,LA2020-019,"35,000.00",6/23/2020,10/23/2020,9/8/2020,"31,500.00",9/8/2020,9/8/2020,9/9/2020,10/22/2020,Complete,122
10415 Hulda Ave.,Single Family,HOME,393,2,HDO,1,LA2021_41,"45,000.00",10/8/2021,2/7/2022,1/25/2022,"40,500.00",1/25/2022,1/26/2022,1/26/2022,1/27/2022,Complete,122
Adult Wellness Program,Social Service,CDBG_DEPT,5518,1,CCR,9,SG2020-193,"50,000.00",7/13/2021,11/12/2021,7/28/2021,"3,722.13",7/29/2021,7/30/2021,8/2/2021,8/2/2021,Complete,122
Youth Program,Social Service,CDBG_DEPT,5546,1,CCR,9,SG2021-094,"9,000.00",6/15/2021,10/15/2021,6/30/2021,268.84,6/30/2021,6/30/2021,6/30/2021,7/1/2021,Complete,122
Emergency Shelter,ESG,ESGP,5646,1,CCR,7,SG2021-149,"97,000.00",7/13/2021,11/12/2021,8/5/2021,"7,090.42",8/5/2021,8/6/2021,8/6/2021,8/9/2021,Complete,122
CDC Operating Support - Metro West,CDC,CDBG_DEPT & NDA,5303,1,CCR,10,SG2019-187,"465,000.00",5/30/2020,9/30/2020,9/22/2020,"41,016.42",9/25/2020,9/25/2020,9/29/2020,9/30/2020,Complete,123
cares act home delivery meals support,CARESAct,CARESAct,5605,1,CCR,10,SG2020-210,"58,998.00",5/20/2021,9/20/2021,9/15/2021,"3,201.29",9/15/2021,9/16/2021,9/16/2021,9/17/2021,Complete,123
2019 Family Community Event,NDA,CDBG_NDA,5410,1,CCR,2,SG2019-221,"6,000.00",9/30/2020,2/1/2021,1/13/2021,"1,843.00",1/14/2021,1/14/2021,1/14/2021,2/1/2021,Complete,124
2019 Family Community Event,NDA,CDBG_NDA,5410,1,CCR,3,SG2019-221,"6,000.00",9/30/2020,2/1/2021,1/13/2021,"3,105.00",1/14/2021,1/14/2021,1/14/2021,2/1/2021,Complete,124
2019 Literacy Tutoring Program,NDA,CDBG_NDA,5452,1,CCR,6,SG2020-013,"7,000.00",7/15/2020,11/16/2020,8/5/2020,"1,166.64",8/5/2020,8/5/2020,8/6/2020,8/17/2020,Complete,124
CDC Activity Grant,CDC,CDBG_DEPT,5567,1,CCR,5,SG2020-0149,"560,000.00",12/23/2020,4/26/2021,3/31/2021,0.00,4/5/2021,4/6/2021,4/9/2021,4/26/2021,Complete,124
Cares Act - West Park Food Pantry Collaborative,CARESAct,CARESAct,5579,1,CCR,8,SG2020-0054,"56,000.00",3/26/2021,7/28/2021,7/22/2021,"2,773.45",7/23/2021,7/26/2021,7/26/2021,7/27/2021,Complete,124
Cares Act - Homeless Prevention - Outreach,CARESAct,CARESAct,5598,1,CCR,5,SG2020-0160,"90,444.00",12/12/2020,4/15/2021,3/26/2021,"8,422.42",3/26/2021,4/1/2021,4/9/2021,4/13/2021,Complete,124
cares act home delivery meals support,CARESAct,CARESAct,5605,1,CCR,1,SG2020-210,"58,998.00",8/14/2020,12/16/2020,12/10/2020,"11,800.10",12/10/2020,12/10/2020,12/11/2020,12/14/2020,Complete,124
10704 Hulda Ave.,Single Family,HOME,401,2,HDO,1,LA2021*019,"45,000.00",10/7/2021,2/9/2022,1/28/2022,"40,500.00",1/28/2022,2/1/2022,2/1/2022,2/2/2022,Complete,125
West Park Youth Job Readiness & Empowerment Program,Social Service,CDBG_DEPT,5357,1,CCR,9,SG2019-194,"20,000.00",4/3/2020,8/6/2020,7/28/2020,473.69,7/29/2020,7/29/2020,7/30/2020,8/6/2020,Complete,125
Cultural Arts Program,Social Service,CDBG_NDA,5520,1,CCR,6,SG2021-150,"24,000.00",10/6/2021,2/8/2022,1/21/2022,"2,000.00",2/3/2022,2/4/2022,2/4/2022,2/7/2022,Complete,125
Cultural Arts Program,Social Service,CDBG_NDA,5520,1,CCR,7,SG2021-150,"24,000.00",10/6/2021,2/8/2022,1/21/2022,"2,000.00",2/3/2022,2/4/2022,2/4/2022,2/7/2022,Complete,125
Cultural Arts Program,Social Service,CDBG_NDA,5520,1,CCR,8,SG2021-150,"24,000.00",10/6/2021,2/8/2022,1/21/2022,"2,000.00",2/3/2022,2/4/2022,2/4/2022,2/7/2022,Complete,125
Rose Centers for Aging Well,Social Service,CDBG_DEPT,5521,1,CCR,6,sg2021-005,"149,909.00",3/17/2021,7/20/2021,5/12/2021,"7,851.00",5/12/2021,5/13/2021,5/13/2021,5/14/2021,Complete,125
cares act - Senior Services,CARESAct,CARESAct,5602,1,CCR,2,SG2020-122,"10,000.00",9/10/2020,1/13/2021,12/15/2020,769.22,12/15/2020,12/15/2020,12/16/2020,1/13/2021,Complete,125
cares act -  old brooklyn Senior Services,CARESAct,CARESAct,5606,1,CCR,10,SG2020-216,"72,340.00",5/14/2021,9/16/2021,8/19/2021,"6,420.87",9/9/2021,9/14/2021,9/14/2021,9/15/2021,Complete,125
2020 CDC Capacity Building Series,City Wide,Program_Income,5460,1,CCR,6,SG2020-016,"19,650.00",9/9/2020,1/13/2021,12/3/2020,0.00,12/4/2020,12/4/2020,12/7/2020,1/13/2021,Complete,126
2020 CDC Capacity Building Series,City Wide,Program_Income,5460,1,CCR,7,SG2020-016,"19,650.00",9/9/2020,1/13/2021,12/3/2020,0.00,12/4/2020,12/4/2020,12/7/2020,1/13/2021,Complete,126
cares act - Eviction Prevention through mediation,CARESAct,CARESAct,5591,1,CCR,1,SG2020-0050,"108,200.00",10/19/2020,2/22/2021,2/3/2021,"1,165.58",2/3/2021,2/5/2021,2/8/2021,2/9/2021,Complete,126
cares act - Eviction Prevention through mediation,CARESAct,CARESAct,5591,1,CCR,2,SG2020-0050,"108,200.00",10/19/2020,2/22/2021,2/3/2021,"1,930.45",2/3/2021,2/5/2021,2/8/2021,2/9/2021,Complete,126
cares act - Eviction Prevention through mediation,CARESAct,CARESAct,5591,1,CCR,3,SG2020-0050,"108,200.00",10/19/2020,2/22/2021,2/3/2021,"1,929.33",2/3/2021,2/5/2021,2/8/2021,2/9/2021,Complete,126
cares act -  old brooklyn Senior Services,CARESAct,CARESAct,5606,1,CCR,3,SG2020-216,"72,340.00",10/14/2020,2/17/2021,2/3/2021,"2,701.37",2/3/2021,2/5/2021,2/8/2021,2/9/2021,Complete,126
Tool Loan and Counseling,City Wide,CDBG_DEPT,5360,1,CCR,12,SG2019-255,"121,390.25",8/11/2020,12/16/2020,12/10/2020,"21,642.29",12/14/2020,12/14/2020,12/15/2020,12/15/2020,Complete,127
Family Services & Child Development,Social Service,CDBG_DEPT,5483,1,CCR,8,SG2020-212,"34,000.00",6/9/2021,10/14/2021,8/19/2021,"1,936.10",10/8/2021,10/8/2021,10/8/2021,10/11/2021,Complete,127
CDC OPERATING SUPPORT,CDC,CDBG_DEPT & NDA,5304,1,CCR,11,SG2019-124,"256,000.00",6/22/2020,10/28/2020,10/19/2020,"9,701.16",10/19/2020,10/21/2020,10/22/2020,10/26/2020,Complete,128
Social Access Program,Social Service,CDBG_DEPT,5350,1,CCR,11,SG2019-172,"10,000.00",2/3/2021,6/11/2021,2/22/2021,402.48,4/29/2021,4/29/2021,4/30/2021,4/30/2021,Complete,128
Code Enforcement Program,Casino,Casino_Funds,5458,1,CCR,12,SG2020-018,"37,123.00",11/10/2020,3/18/2021,3/3/2021,"3,037.92",3/3/2021,3/3/2021,3/3/2021,3/18/2021,Complete,128
Cares Act  - Food Delivery,CARESAct,CARESAct,5580,1,CCR,12,SG2020-073,"100,000.00",3/14/2021,7/20/2021,6/23/2021,"10,267.38",7/14/2021,7/15/2021,7/15/2021,7/19/2021,Complete,128
cares act - ESG -men's  shelter - Deconcentration,CARESAct,CARESAct,5614,1,CCR,7,SG2021-132,"4,647,955.00",2/16/2021,6/24/2021,6/15/2021,"409,293.28",6/18/2021,6/21/2021,6/22/2021,6/23/2021,Complete,128
cares act - senior connection,CARESAct,CARESAct,5603,1,CCR,5,SG2020-128,"62,500.00",12/14/2020,4/22/2021,4/7/2021,"3,535.68",4/7/2021,4/7/2021,4/9/2021,4/13/2021,Complete,129
cares act -ESG - personnel - Men's emergency covid shelter,CARESAct,CARESAct,5613,1,CCR,5,SG2020-138,"217,559.00",12/14/2020,4/22/2021,4/1/2021,"6,046.08",4/1/2021,4/6/2021,4/9/2021,4/13/2021,Complete,129
Cares Act Food Delivery Covid 19 Relief,CARESAct,CARESAct,5581,1,CCR,2,SG2020-077,"120,000.00",9/14/2020,1/22/2021,12/9/2020,"24,696.96",12/9/2020,12/9/2020,12/10/2020,1/22/2021,Complete,130
Cares act -the beech brook family center - referral services,CARESAct,CARESAct,5587,1,CCR,2,SG2020-101,"40,199.00",9/14/2020,1/22/2021,12/23/2020,"2,212.84",12/23/2020,12/29/2020,12/29/2020,1/13/2021,Complete,130
Cares Act - Utility Assistance,CARESAct,CARESAct,5563,1,CCR,3,SG2020-206,"1,000,000.00",10/22/2020,3/2/2021,2/9/2021,956.59,2/10/2021,2/12/2021,2/17/2021,3/1/2021,Complete,131
Integrated Services for COVID-19 Affectted Low-Income Cleveland Households,CARESAct-ESG,CARESAct,5610,1,CCR,8,SG2020-099,"3,900,000.00",3/11/2021,7/20/2021,7/13/2021,"54,057.59",7/14/2021,7/15/2021,7/15/2021,7/19/2021,Complete,131
Emergency Shelter,ESG,ESGP,5646,1,CCR,2,SG2021-149,"97,000.00",2/10/2021,6/21/2021,5/13/2021,"6,205.06",5/25/2021,5/25/2021,5/27/2021,6/16/2021,Complete,131
Citywide Development Assistance - Business Technical Assistance,City Wide,CDBG_DEPT,5351,1,CCR,12,SG2019-165,"43,750.00",7/21/2020,11/30/2020,11/18/2020,"3,058.33",11/18/2020,11/20/2020,11/23/2020,11/23/2020,Complete,132
True2U Mentoring Program,Social Service,CDBG_DEPT,5513,1,CCR,1,SG2021-009,"50,000.00",3/10/2021,7/20/2021,5/11/2021,"3,148.91",6/17/2021,7/8/2021,7/8/2021,7/9/2021,Complete,132
True2U Mentoring Program,Social Service,CDBG_DEPT,5513,1,CCR,2,SG2021-009,"50,000.00",3/10/2021,7/20/2021,5/11/2021,"5,347.08",6/17/2021,7/8/2021,7/8/2021,7/9/2021,Complete,132
True2U Mentoring Program,Social Service,CDBG_DEPT,5513,1,CCR,3,SG2021-009,"50,000.00",3/10/2021,7/20/2021,5/11/2021,"3,784.37",6/17/2021,7/8/2021,7/8/2021,7/9/2021,Complete,132
True2U Mentoring Program,Social Service,CDBG_DEPT,5513,1,CCR,4,SG2021-009,"50,000.00",3/10/2021,7/20/2021,5/11/2021,"5,256.06",6/17/2021,7/8/2021,7/8/2021,7/9/2021,Complete,132
CDC Activity Grant,CDC,CDBG_DEPT,5568,1,CCR,7,SG2020-182,"294,000.00",2/19/2021,7/1/2021,6/21/2021,"10,411.23",6/23/2021,6/23/2021,6/23/2021,6/28/2021,Complete,132
Fair Housing and Investigation Program,City Wide,CDBG_DEPT,5511,1,CCR,1,SG2021-041,"15,000.00",6/9/2021,10/20/2021,10/15/2021,552.53,10/15/2021,10/18/2021,10/18/2021,10/19/2021,Complete,133
Fair Housing and Investigation Program,City Wide,CDBG_DEPT,5511,1,CCR,2,SG2021-041,"15,000.00",6/9/2021,10/20/2021,10/15/2021,702.94,10/15/2021,10/18/2021,10/18/2021,10/19/2021,Complete,133
Fair Housing and Investigation Program,City Wide,CDBG_DEPT,5511,1,CCR,3,SG2021-041,"15,000.00",6/9/2021,10/20/2021,10/15/2021,678.98,10/15/2021,10/18/2021,10/18/2021,10/19/2021,Complete,133
Fair Housing and Investigation Program,City Wide,CDBG_DEPT,5511,1,CCR,4,SG2021-041,"15,000.00",6/9/2021,10/20/2021,10/15/2021,400.71,10/15/2021,10/18/2021,10/18/2021,10/19/2021,Complete,133
Cares act - Referral services,CARESAct,CARESAct,5590,1,CCR,6,SG2020-0060,"17,164.00",1/15/2021,5/28/2021,5/4/2021,929.39,5/7/2021,5/10/2021,5/11/2021,5/12/2021,Complete,133
cares act - Wisdom keepers Senior Referral,CARESAct,CARESAct,5600,1,CCR,2,SG2020-174,"20,000.00",9/14/2020,1/25/2021,12/15/2020,"1,375.55",12/15/2020,12/15/2020,12/16/2020,1/25/2021,Complete,133
Furnace Repair,City Wide,CDBG_DEPT,5359,1,CCR,7,RH2019-16,"125,000.00",5/19/2020,9/30/2020,9/9/2020,"1,308.51",9/23/2020,9/23/2020,9/24/2020,9/30/2020,Complete,134
Gateway Disabled Men's Shelter,ESG,ESGP,5424,1,CCR,7,SG2020-003,"260,000.00",7/8/2020,11/19/2020,10/22/2020,"11,608.25",10/22/2020,10/26/2020,11/17/2020,11/18/2020,Complete,134
Code Enforcement Program,Casino,Casino_Funds,5458,1,CCR,11,SG2020-018,"37,123.00",10/19/2020,3/2/2021,1/21/2021,"3,335.81",2/3/2021,2/3/2021,2/3/2021,3/1/2021,Complete,134
CDC Activity Grant,CDC,CDBG_DEPT,5583,1,CCR,7,SG2020-179,"520,000.00",3/4/2021,7/16/2021,6/16/2021,"23,282.89",6/16/2021,6/18/2021,6/23/2021,7/16/2021,Complete,134
2020 CDC Capacity Building Series,City Wide,Program_Income,5460,1,CCR,5,SG2020-016,"19,650.00",9/9/2020,1/22/2021,12/3/2020,"5,509.58",12/4/2020,12/4/2020,12/7/2020,1/22/2021,Complete,135
Cares Act -  Food &  Clothing Distribution,CARESAct,CARESAct,5577,1,CCR,8,S2020-070,"64,327.00",3/15/2021,7/28/2021,6/30/2021,"5,002.44",7/23/2021,7/26/2021,7/26/2021,7/27/2021,Complete,135
Cares Act  - Food Delivery,CARESAct,CARESAct,5580,1,CCR,6,SG2020-073,"100,000.00",1/12/2021,5/28/2021,5/4/2021,"3,538.49",5/7/2021,5/10/2021,5/11/2021,5/12/2021,Complete,136
Senior Services,Social Service,CDBG_DEPT,5524,1,CCR,10,SG2021-223,"31,000.00",5/13/2021,9/27/2021,8/27/2021,"1,646.80",8/27/2021,8/30/2021,8/30/2021,8/31/2021,Complete,137
CDC Activity Grant,CDC,CDBG_DEPT,5560,1,CCR,5,SG2020-146,"356,500.00",12/11/2020,4/27/2021,2/25/2021,0.00,4/26/2021,4/26/2021,4/27/2021,4/27/2021,Complete,137
CDC Activity Grant,CDC,CDBG_DEPT,5583,1,CCR,8,SG2020-179,"520,000.00",3/29/2021,8/13/2021,8/6/2021,"25,411.49",8/10/2021,8/11/2021,8/11/2021,8/12/2021,Complete,137
2100 Lakeside Men's Shelter (overhead),ESG,ESGP,5422,1,CCR,6,SG2019-240,"500,000.00",4/1/2020,8/17/2020,6/24/2020,"37,868.14",7/22/2020,7/23/2020,7/24/2020,8/17/2020,Complete,138
Newton Avenue Model Block,Model Block,CDBG,177,2,HDO,4,CT8006 RH2018*003,"77,000.00",7/21/2020,12/7/2020,7/21/2020,"17,330.00",7/21/2020,7/22/2020,7/24/2020,12/7/2020,Complete,139
CDC OPERATING SUPPORT,CDC,CDBG_DEPT & NDA,5302,1,CCR,6,SG2019-199,"379,261.40",1/31/2020,6/18/2020,4/22/2020,0.00,4/22/2020,4/23/2020,4/23/2020,6/18/2020,Complete,139
CDC OPERATING SUPPORT,CDC,CDBG_DEPT & NDA,5304,1,CCR,6,SG2019-124,"256,000.00",1/31/2020,6/18/2020,4/21/2020,0.00,4/22/2020,4/23/2020,4/23/2020,6/18/2020,Complete,139
Near West Recreation,NDA,CDBG_NDA,5417,1,CCR,14,SG2019-252,"175,000.00",7/20/2021,12/6/2021,12/3/2021,"6,172.77",12/3/2021,12/3/2021,12/3/2021,12/3/2021,Complete,139
CARES act - Referral Services,CARESAct,CARESAct,5589,1,CCR,3,sg2021-002,"83,582.00",10/22/2020,3/10/2021,2/9/2021,"1,056.38",2/10/2021,2/12/2021,2/17/2021,2/22/2021,Complete,139
Cares act - Referral services,CARESAct,CARESAct,5590,1,CCR,7,SG2020-0060,"17,164.00",2/18/2021,7/7/2021,7/1/2021,"1,668.65",7/1/2021,7/1/2021,7/2/2021,7/2/2021,Complete,139
cares act - clean & safe facilities for the vulnerable,CARESAct,CARESActESGP,5599,1,CCR,1,SG2020-124,"100,000.00",8/27/2020,1/13/2021,12/23/2020,"35,573.00",12/23/2020,12/29/2020,12/29/2020,1/13/2021,Complete,139
